epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,9406.64,0.71054,3.50981,0.29458,0.45193,1.11891,0.9673,0.97746,0.99039,0.8905,0.84841,0.79781,0.81979,0.6616,0.5751,2.14704,0.06207,0.29834,0.997,0.007426,0.007426,0.007426
28,9742.83,0.70125,3.48363,0.29317,0.44628,1.11644,0.97156,0.97477,0.99074,0.8915,0.8486,0.80277,0.82137,0.66781,0.57587,2.13845,0.0604,0.29799,0.99534,0.007327,0.007327,0.007327
29,10080.4,0.70133,3.47475,0.29015,0.44662,1.11259,0.97017,0.97631,0.99053,0.89397,0.85128,0.80776,0.83334,0.67646,0.56778,2.09197,0.05748,0.29321,0.99241,0.007228,0.007228,0.007228
30,10417.8,0.69834,3.43441,0.28819,0.4419,1.11103,0.97143,0.97503,0.99023,0.89218,0.84203,0.81236,0.82668,0.67229,0.5684,2.1121,0.05859,0.29283,0.99311,0.007129,0.007129,0.007129
31,10755.6,0.69658,3.40153,0.28817,0.43963,1.11293,0.97333,0.97703,0.99064,0.89349,0.85347,0.81404,0.83322,0.68011,0.56315,2.05952,0.05857,0.28911,0.98847,0.00703,0.00703,0.00703
32,11093,0.68796,3.31813,0.28424,0.43342,1.10656,0.97184,0.97759,0.99043,0.89397,0.8524,0.81737,0.83513,0.68125,0.56223,2.04419,0.05822,0.28698,0.9888,0.006931,0.006931,0.006931
33,11430.9,0.6875,3.27872,0.28121,0.43723,1.10753,0.96997,0.97592,0.99079,0.89514,0.85337,0.81737,0.83351,0.68376,0.55604,2.01472,0.0557,0.28551,0.98431,0.006832,0.006832,0.006832
34,11769.1,0.69038,3.26585,0.28158,0.43371,1.10793,0.97107,0.9759,0.99046,0.89335,0.85277,0.81374,0.83051,0.68037,0.55672,2.02549,0.05473,0.28518,0.98463,0.006733,0.006733,0.006733
35,12106.6,0.68285,3.23352,0.27575,0.42871,1.10225,0.97279,0.97517,0.99082,0.89741,0.86164,0.82492,0.84451,0.69157,0.55047,1.94218,0.05456,0.28098,0.97966,0.006634,0.006634,0.006634
36,12443.7,0.68498,3.19893,0.27138,0.43271,1.10205,0.97175,0.97812,0.99094,0.89882,0.85912,0.82635,0.84657,0.69675,0.55106,1.95379,0.05213,0.28062,0.98089,0.006535,0.006535,0.006535
37,12781.6,0.6841,3.23569,0.27461,0.42895,1.10439,0.97099,0.97724,0.99104,0.89802,0.87068,0.82582,0.85049,0.69731,0.55135,1.942,0.05283,0.27841,0.98196,0.006436,0.006436,0.006436
38,13119.9,0.67829,3.13571,0.26932,0.42683,1.10005,0.97197,0.97692,0.99107,0.89922,0.86387,0.82902,0.84808,0.69807,0.54787,1.92976,0.05178,0.27704,0.97827,0.006337,0.006337,0.006337
39,13457.7,0.6751,3.13139,0.26942,0.42667,1.09795,0.97357,0.97655,0.99124,0.90009,0.86447,0.8308,0.85218,0.70162,0.54619,1.92307,0.05139,0.2761,0.97622,0.006238,0.006238,0.006238
40,13795.5,0.66904,3.11683,0.26919,0.42273,1.09732,0.97299,0.97682,0.99127,0.89989,0.86047,0.83009,0.84688,0.70038,0.54256,1.92614,0.05185,0.27565,0.97443,0.006139,0.006139,0.006139
41,14133.5,0.6679,3.07802,0.26687,0.42012,1.09589,0.97165,0.97889,0.99126,0.90169,0.86487,0.82979,0.85075,0.70672,0.54079,1.90022,0.05118,0.27373,0.9729,0.00604,0.00604,0.00604
42,14471,0.66472,3.07349,0.26332,0.41424,1.09253,0.97397,0.97765,0.99123,0.90197,0.85871,0.83207,0.84939,0.70854,0.5395,1.8965,0.05074,0.27231,0.97156,0.005941,0.005941,0.005941
43,14809.3,0.66178,3.03278,0.2638,0.41176,1.09199,0.97454,0.97772,0.99123,0.90314,0.85722,0.8353,0.85285,0.70882,0.53658,1.8935,0.04992,0.2699,0.97007,0.005842,0.005842,0.005842
44,15146.3,0.65905,3.01923,0.26139,0.41387,1.08918,0.97156,0.97925,0.99131,0.90279,0.86091,0.83824,0.85632,0.71299,0.5365,1.8709,0.04923,0.2692,0.97006,0.005743,0.005743,0.005743
45,15483.9,0.66168,2.99178,0.25791,0.41088,1.09055,0.97195,0.97976,0.99132,0.90347,0.87061,0.8359,0.85911,0.71514,0.53538,1.85238,0.04853,0.26684,0.9696,0.005644,0.005644,0.005644
46,15822.4,0.65558,2.98577,0.25678,0.40855,1.08962,0.9733,0.97861,0.99136,0.9044,0.86838,0.83722,0.85943,0.71679,0.5341,1.84582,0.04832,0.26551,0.96871,0.005545,0.005545,0.005545
47,16159.4,0.65904,2.9766,0.25574,0.41264,1.08994,0.97422,0.97767,0.99141,0.90415,0.86881,0.83555,0.85876,0.71718,0.53456,1.84403,0.04811,0.26518,0.9693,0.005446,0.005446,0.005446
48,16495.9,0.65281,2.93167,0.25473,0.40787,1.08928,0.97325,0.97733,0.99138,0.90444,0.8678,0.83786,0.8588,0.7188,0.53352,1.84107,0.04763,0.26469,0.96858,0.005347,0.005347,0.005347
49,16833.1,0.65205,2.95261,0.25561,0.40818,1.08661,0.97264,0.97872,0.99146,0.90456,0.86826,0.83821,0.85841,0.7184,0.53213,1.84221,0.04724,0.26386,0.96761,0.005248,0.005248,0.005248
